District_Name,State_Full,Agency ID - NCES Assigned,FIPS_Code,Total_Students,FTE_Teachers,Student_Teacher_Ratio,State_Abbr,Poverty_Rate,Median_Household_Income,Unemployment_Rate,Graduation_Outcome
SUMMIT ACADEMY SECONDARY - CANTON,Ohio,3900495.0,39151,67.0,4.5,14.88888888888889,OH,12.3,63673.0,3.7,Medium (80-89%)
SUMMIT ACADEMY SECONDARY - YOUNGSTOWN,Ohio,3900498.0,39099,150.0,11.0,13.636363636363637,OH,19.5,52914.0,4.2,Medium (80-89%)
SUMMIT ACADEMY SECONDARY SCHOOL - MIDDLETOWN,Ohio,3900361.0,39017,81.0,7.0,11.571428571428571,OH,11.9,80066.0,3.2,Medium (80-89%)
SUMMIT ACADEMY TRANSITION HIGH SCHOOL DAYTON,Ohio,3900348.0,39113,78.0,8.0,9.75,OH,15.200000000000001,62650.0,3.8000000000000003,Medium (80-89%)
SUMMIT ACADEMY TRANSITION HIGH SCHOOL-CINCINNATI,Ohio,3900337.0,39061,55.0,6.5,8.461538461538462,OH,13.600000000000001,68810.0,3.2,Medium (80-89%)
SUMMIT ACADEMY TRANSITION HIGH SCHOOL-COLUMBUS,Ohio,3900342.0,39049,38.0,4.33,8.775981524249422,OH,15.100000000000001,71730.0,3.1,Medium (80-89%)
SUMMIT ACADEMY-YOUNGSTOWN,Ohio,3900350.0,39099,134.0,15.5,8.64516129032258,OH,19.5,52914.0,4.2,Medium (80-89%)
SUMMIT ACDY COMM SCHL FOR ALTERNATIVE LEARNERS OF MIDDLETOWN,Ohio,3900096.0,39017,90.0,8.0,11.25,OH,11.9,80066.0,3.2,Medium (80-89%)
SUMMIT CHARTER,North Carolina,3700029.0,37099,292.0,20.36,14.341846758349705,NC,17.0,55462.0,3.6,Medium (80-89%)
SUMMIT COUNTY ESC,Ohio,3904996.0,39153,0.0,31.0,0.0,OH,12.9,69786.0,3.7,Medium (80-89%)
SUMMIT CREEK ACADEMY,NORTH CAROLINA,3700471.0,37081,560.0,27.72,20.202020202020204,NC,14.8,65890.0,3.9000000000000004,Medium (80-89%)
SUMMIT HILL SD 161,Illinois,1738220.0,17197,2499.0,219.65,11.377190985659002,IL,7.2,103587.0,4.2,High (>=90%)
SUMMIT LEADERSHIP ACADEMY-HIGH DESERT DISTRICT,CALIFORNIA,601607.0,06071,224.0,10.46,21.41491395793499,CA,13.200000000000001,84576.0,4.7,Medium (80-89%)
SUMMIT PREPARATORY CHARTER HIGH DISTRICT,CALIFORNIA,602287.0,06081,389.0,17.16,22.66899766899767,CA,7.300000000000001,151004.0,3.0,High (>=90%)
SUMMIT PUBLIC SCHOOL DISTRICT,New Jersey,3415900.0,34039,3950.0,366.9,10.76587626056146,NJ,8.9,100031.0,4.7,High (>=90%)
SUMMIT PUBLIC SCHOOL K2 DISTRICT,CALIFORNIA,601912.0,06013,506.0,24.81,20.395002015316404,CA,8.3,122000.0,4.1000000000000005,High (>=90%)
SUMMIT PUBLIC SCHOOL: ATLAS,WASHINGTON,5300343.0,53033,458.0,30.0,15.266666666666667,WA,8.8,120672.0,3.4000000000000004,High (>=90%)
SUMMIT PUBLIC SCHOOL: DENALI DISTRICT,CALIFORNIA,602169.0,06085,643.0,27.03,23.788383277839436,CA,7.6000000000000005,154573.0,3.5,High (>=90%)
SUMMIT PUBLIC SCHOOL: OLYMPUS,WASHINGTON,5300333.0,53053,156.0,11.52,13.541666666666668,WA,9.9,97493.0,4.7,High (>=90%)
SUMMIT PUBLIC SCHOOL: SHASTA DISTRICT,CALIFORNIA,601648.0,06081,442.0,17.22,25.6678281068525,CA,7.300000000000001,151004.0,3.0,High (>=90%)
SUMMIT PUBLIC SCHOOL: SIERRA,WASHINGTON,5300334.0,53033,235.0,17.0,13.823529411764707,WA,8.8,120672.0,3.4000000000000004,High (>=90%)
SUMMIT PUBLIC SCHOOL: TAHOMA DISTRICT,CALIFORNIA,602222.0,06085,314.0,18.97,16.552451238798103,CA,7.6000000000000005,154573.0,3.5,High (>=90%)
SUMMIT PUBLIC SCHOOL: TAMALPAIS DISTRICT,CALIFORNIA,602026.0,06013,613.0,22.93,26.733536851286523,CA,8.3,122000.0,4.1000000000000005,High (>=90%)
SUMMIT RE-1 AU,COLORADO,800288.0,08117,,,,CO,7.300000000000001,105135.0,2.3000000000000003,High (>=90%)
SUMMIT SCHOOL DISTRICT 54-6,South Dakota,4670140.0,46109,184.0,17.41,10.568638713383113,SD,16.3,65069.0,3.1,Medium (80-89%)
SUMMIT SCHOOL DISTRICT NO. RE 1,Colorado,806810.0,08117,3633.0,275.67,13.178800740015236,CO,7.300000000000001,105135.0,2.3000000000000003,High (>=90%)
SUMMIT SD 104,Illinois,1704050.0,17031,1459.0,137.05,10.645749726377234,IL,13.200000000000001,80547.0,4.4,Medium (80-89%)
SUMMIT VALLEY SCHOOL DISTRICT,Washington,5308580.0,53065,81.0,5.41,14.972273567467653,WA,11.9,67525.0,6.0,Medium (80-89%)
SUMNER CO EDUCATIONAL SERVICES,Kansas,2000043.0,20191,0.0,0.0,,KS,11.200000000000001,63049.0,2.7,Medium (80-89%)
SUMNER COUNTY,Tennessee,4704020.0,47165,30732.0,2072.12,14.831187382970098,TN,8.9,86376.0,2.6,High (>=90%)
SUMNER-BONNEY LAKE SCHOOL DISTRICT,Washington,5308610.0,53053,10414.0,554.2,18.791050162396246,WA,9.9,97493.0,4.7,High (>=90%)
